bucket,total,--,AE,AM,AO,AR,AT,AU,AZ,BA,BD,BE,BG,BH,BO,BR,BW,BY,CA,CH,CI,CL,CM,CN,CO,CR,CV,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JE,JO,JP,KE,KH,KR,KW,KY,KZ,LA,LB,LI,LK,LT,LU,LV,LY,MA,MD,MK,MM,MN,MO,MR,MU,MV,MX,MY,NA,NC,NE,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PS,PT,PY,QA,RE,RO,RS,RU,RW,SA,SC,SD,SE,SG,SI,SK,SR,SY,TH,TM,TN,TR,TT,TW,TZ,UA,UG,US,UY,UZ,VE,VN,WS,ZA,ZM,ZW
2023-03-01,1596,9,1,0,0,10,7,8,1,0,1,5,1,0,2,12,0,4,73,6,0,8,0,151,6,0,0,0,2,183,2,2,0,2,0,0,24,1,2,51,78,1,0,1,0,23,0,1,15,2,0,6,0,2,0,60,0,0,27,2,5,23,0,0,0,1,0,0,0,1,2,2,0,1,0,0,1,0,4,0,0,0,9,7,0,0,0,1,80,2,0,11,1,1,9,2,12,0,0,6,1,0,0,8,2,23,1,0,0,0,19,30,0,0,0,0,41,0,0,17,0,20,0,7,1,436,0,0,1,9,0,4,2,1
2023-03-02,1413,12,5,0,0,3,1,8,0,0,1,3,0,0,0,12,0,0,77,5,0,6,0,94,2,0,1,0,6,175,4,1,0,0,0,0,27,1,2,73,95,1,0,3,0,50,0,0,1,3,0,12,0,0,0,67,0,0,6,1,2,21,0,0,0,0,0,0,1,3,2,1,0,0,0,0,0,0,1,0,0,0,3,16,0,0,0,0,66,2,0,11,0,0,8,3,9,1,0,7,0,0,1,4,0,18,2,0,0,0,18,20,0,0,0,0,37,0,0,5,0,22,0,2,0,356,1,0,0,6,0,6,0,0
2023-03-03,1519,18,1,0,0,10,2,13,0,0,1,6,0,1,0,25,0,3,75,6,0,4,0,96,11,0,0,1,1,182,1,2,1,0,0,2,24,0,1,62,74,0,0,1,0,30,0,1,9,4,0,27,0,4,1,71,0,0,25,0,3,24,0,0,0,1,1,0,0,4,1,2,1,3,1,1,0,0,1,0,0,0,3,12,0,0,0,0,67,2,0,10,0,0,10,1,7,0,0,4,0,0,0,10,0,27,1,2,0,0,6,27,1,0,0,0,44,0,1,8,0,26,1,5,0,396,0,0,3,3,0,2,1,0
2023-03-04,1378,13,1,0,0,14,0,10,0,0,0,7,1,0,0,27,2,0,71,5,0,9,0,87,8,0,1,0,1,173,1,0,0,0,0,0,27,0,2,53,65,0,0,1,1,30,0,0,5,1,1,12,0,3,0,83,2,0,16,0,4,20,0,0,1,2,1,0,0,2,3,2,0,0,0,0,2,0,1,0,0,0,7,8,0,0,0,2,71,2,0,8,0,1,10,1,9,0,0,7,1,0,0,5,1,20,1,0,0,0,13,26,0,2,1,0,33,0,0,8,0,29,0,3,0,321,0,0,1,12,1,3,0,0
2023-03-05,1510,17,0,0,0,7,1,7,0,0,1,5,2,0,1,16,0,0,76,8,0,4,0,72,0,2,1,0,0,227,5,0,0,1,1,2,28,0,3,80,74,2,0,2,0,34,0,2,9,2,2,15,0,2,0,57,0,0,15,1,1,19,0,0,1,1,1,0,0,5,3,2,0,0,0,0,1,0,1,0,0,0,7,7,0,0,0,1,73,4,0,9,0,2,15,1,12,0,0,11,1,0,0,5,0,26,1,0,0,0,20,22,1,0,0,0,32,2,1,8,0,37,0,2,0,382,0,0,0,7,0,2,0,0
2023-03-06,1910,14,1,1,0,10,1,32,0,0,2,6,1,0,0,12,0,1,82,5,0,8,0,72,4,0,0,0,5,197,1,1,0,0,4,1,30,0,1,65,109,0,0,3,0,24,0,2,9,35,1,25,0,2,1,73,0,0,42,0,4,14,0,0,0,1,1,0,0,1,1,1,0,3,0,2,1,0,3,0,0,0,7,8,0,0,0,2,80,5,0,14,0,0,14,1,10,0,0,8,1,0,0,14,0,29,1,0,1,0,22,27,0,3,0,0,45,1,0,4,1,30,1,1,0,647,0,1,1,11,0,5,0,0
2023-03-07,1431,14,1,0,0,7,4,5,1,0,0,6,0,0,1,11,0,1,87,7,0,1,1,98,1,0,0,0,4,186,4,2,1,4,1,1,22,1,2,74,81,0,1,3,0,21,0,1,9,2,1,12,0,0,0,90,0,0,17,0,0,15,0,0,0,0,1,0,0,1,1,1,0,2,0,0,1,0,1,0,0,1,8,5,0,0,0,0,90,2,0,9,0,0,7,0,12,0,0,5,0,0,0,7,2,24,1,1,0,0,20,27,0,1,0,0,32,0,0,5,0,19,0,4,0,329,0,0,0,6,0,3,0,2
2023-03-08,1383,10,0,0,0,8,3,6,0,0,1,7,1,0,0,12,0,1,75,4,0,5,0,85,3,0,0,0,4,210,4,1,0,4,0,2,28,0,3,69,66,0,0,1,0,20,0,1,6,1,1,21,0,2,1,91,1,0,16,0,0,21,0,0,0,0,1,0,0,3,2,1,0,1,1,0,1,0,0,0,0,0,6,10,0,0,0,0,66,3,0,6,1,0,5,0,6,0,0,4,2,1,0,10,0,19,0,0,0,0,20,26,0,0,0,1,24,1,0,7,0,20,1,1,0,333,0,0,0,4,0,1,0,0
2023-03-09,1439,11,4,0,0,7,2,6,0,0,3,3,0,0,1,25,0,1,84,4,0,6,0,127,3,3,0,0,2,184,6,2,1,1,1,1,20,0,1,64,87,0,0,1,0,49,1,1,3,3,2,16,0,0,0,76,0,0,11,0,1,16,0,0,0,0,1,0,0,2,3,0,0,2,0,0,1,0,0,0,0,0,3,8,0,0,0,2,69,4,0,4,0,2,8,1,11,0,0,6,0,0,0,3,0,24,2,0,0,0,20,18,0,8,0,0,22,0,2,6,0,27,0,3,0,327,0,0,3,5,0,2,0,0
2023-03-10,1858,9,0,0,0,10,0,50,1,0,2,11,0,0,0,12,0,0,64,10,0,6,0,135,2,0,0,0,3,206,6,1,0,0,2,0,31,0,1,89,73,0,0,1,0,43,0,0,2,15,0,48,0,2,0,73,0,1,53,0,0,19,0,1,0,0,2,0,0,0,3,1,0,1,0,0,1,0,0,0,1,0,5,3,0,0,0,0,65,2,1,4,0,0,6,1,9,0,0,3,1,0,0,8,0,15,1,0,1,0,20,18,0,0,0,1,35,0,0,8,0,28,0,4,0,615,1,2,1,5,0,3,0,1
