bucket,total,--,AE,AR,AT,AU,BA,BB,BD,BE,BG,BR,CA,CH,CL,CN,CO,CR,CZ,DE,DK,DO,EE,EG,ES,FI,FR,GB,GR,HK,HR,HU,ID,IE,IL,IN,IR,IT,JP,KE,KH,KR,KZ,LT,LU,LV,MG,MN,MQ,MX,MY,NL,NO,NP,NZ,PH,PL,PS,PT,RO,RS,RU,RW,SA,SE,SG,SK,SY,TH,TR,TT,TW,UA,US,VN,ZA
2021-10-31T00,138,1,0,1,0,2,1,0,0,0,0,3,9,0,1,9,1,0,0,7,0,0,0,0,1,0,4,6,0,2,0,0,0,2,0,0,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,1,0,0,1,0,0,1,0,0,2,11,0,0,8,0,0,1,0,47,1,0
2021-10-31T01,86,0,0,1,1,0,0,0,0,0,0,3,7,0,1,8,0,0,0,4,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,2,0,0,2,0,0,1,7,0,0,4,0,0,0,0,32,1,0
2021-10-31T02,96,2,0,1,0,0,0,0,0,0,0,1,11,0,1,9,0,0,0,3,0,0,0,0,1,0,2,2,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,1,0,1,2,6,0,0,4,0,0,0,0,40,0,0
2021-10-31T03,90,1,0,0,0,0,0,0,0,0,0,1,4,0,1,8,0,0,0,5,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,2,0,0,0,1,0,1,0,0,1,7,0,0,7,0,0,2,0,35,0,0
2021-10-31T04,103,1,0,0,0,2,0,0,0,0,0,2,2,0,0,11,0,0,0,5,0,0,0,0,1,0,0,2,0,2,0,0,0,2,0,0,0,4,1,0,0,0,0,3,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,5,0,0,1,0,35,0,0
2021-10-31T05,89,1,0,0,0,1,0,0,0,0,0,1,4,0,0,11,0,0,0,4,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,3,6,0,0,2,0,0,0,0,0,0,2,0,0,1,7,0,0,8,0,0,4,0,26,1,0
2021-10-31T06,102,2,0,0,0,2,0,0,0,0,0,1,2,0,1,10,0,0,0,7,0,0,0,0,1,0,2,2,0,3,0,0,0,0,0,0,1,2,2,0,0,0,0,1,0,0,0,0,0,1,2,3,0,0,0,2,0,0,0,1,0,1,0,1,1,8,0,0,11,0,0,6,0,26,0,0
2021-10-31T07,77,1,0,0,0,3,0,0,0,0,0,1,1,0,0,6,0,0,0,4,0,0,0,0,1,0,1,1,0,3,0,0,0,0,0,0,0,4,2,0,0,0,0,1,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,1,0,2,0,0,1,6,0,0,6,0,0,3,0,19,0,0
2021-10-31T08,127,0,0,1,1,2,0,0,0,0,0,1,2,1,0,15,0,0,0,8,0,0,0,0,1,0,1,2,0,3,0,1,0,0,0,1,0,3,1,0,0,0,0,1,0,0,0,0,0,1,1,5,0,0,0,2,1,0,1,1,0,5,0,0,2,12,0,0,7,1,0,1,0,42,0,0
2021-10-31T09,108,1,0,0,1,0,0,0,0,0,0,2,1,1,0,9,0,0,0,19,0,0,0,0,3,0,3,4,0,0,0,0,1,0,0,0,0,5,2,0,0,2,0,1,0,0,0,0,0,0,0,10,1,0,0,1,0,0,0,0,0,1,0,2,1,10,0,0,6,2,0,1,0,17,1,0
2021-10-31T10,133,2,0,0,1,0,0,0,0,1,0,1,1,1,0,11,0,0,0,35,0,0,0,0,0,0,6,8,0,2,0,0,0,0,0,1,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,2,0,1,5,10,0,0,5,0,0,2,0,20,0,1
2021-10-31T11,122,0,0,0,0,0,0,0,0,2,0,1,2,1,0,7,0,0,0,28,0,0,0,0,5,1,3,10,0,1,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0,0,1,0,3,0,0,4,6,0,0,2,0,0,5,0,10,7,1
2021-10-31T12,135,1,0,0,0,0,0,0,0,2,0,1,4,3,0,7,0,0,0,27,0,0,0,0,3,0,4,12,0,3,2,0,0,4,1,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,1,16,0,0,0,1,0,0,0,0,0,1,0,0,3,10,1,0,2,2,0,4,0,14,0,1
2021-10-31T13,148,1,0,0,0,0,0,0,0,1,0,0,3,2,0,10,0,0,0,24,0,0,0,0,3,0,4,11,0,3,0,0,0,3,0,0,0,4,1,1,0,0,0,3,0,0,0,1,0,0,1,15,1,0,0,5,0,0,0,1,0,2,0,0,4,5,0,0,16,1,0,8,0,14,0,0
2021-10-31T14,203,1,0,0,0,0,0,0,0,2,0,0,3,1,1,8,0,0,0,36,0,0,0,0,2,0,8,14,1,4,0,0,1,0,0,1,0,8,2,0,0,0,0,1,0,0,0,0,0,0,4,13,1,0,0,6,0,0,0,0,0,6,0,1,5,10,0,0,13,3,1,9,0,36,0,1
2021-10-31T15,216,1,1,0,0,0,0,0,0,5,0,0,12,2,1,7,0,0,0,38,0,0,0,0,4,0,8,19,0,3,0,0,0,1,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,5,22,0,0,0,3,1,0,0,3,0,4,0,0,3,7,0,0,15,3,0,8,0,20,1,0
2021-10-31T16,347,1,0,0,0,0,0,0,0,3,0,0,12,1,1,10,0,0,0,41,0,0,0,0,8,0,10,25,0,3,0,0,0,0,0,0,0,24,2,0,1,0,0,3,0,0,0,0,0,0,1,17,0,0,0,2,2,0,0,0,0,1,0,0,4,7,1,0,5,2,0,4,98,57,0,1
2021-10-31T17,233,4,0,0,0,0,0,0,0,1,0,2,12,1,1,6,0,0,0,56,0,0,0,0,13,0,13,19,2,3,0,0,2,0,0,0,0,21,1,0,0,0,0,2,0,0,0,0,0,0,0,13,0,0,0,1,2,0,0,2,0,0,0,0,3,7,0,0,6,2,0,1,2,35,0,0
2021-10-31T18,256,0,0,0,0,0,1,0,0,3,0,1,13,2,1,9,0,0,0,61,0,0,0,0,11,0,9,25,3,4,0,0,2,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,0,0,20,0,0,0,2,0,0,1,0,0,1,0,0,11,6,0,0,8,2,0,4,1,41,0,0
2021-10-31T19,240,2,0,0,0,0,1,0,0,3,0,2,14,4,0,8,0,0,0,49,1,0,0,0,4,0,11,20,0,3,0,0,0,0,0,0,0,14,0,0,0,0,0,1,1,0,0,0,0,0,0,24,0,0,0,0,1,0,0,0,0,2,0,0,6,8,0,0,4,4,0,1,0,51,1,0
2021-10-31T20,208,2,0,0,0,0,0,0,0,2,0,1,6,2,0,10,0,0,0,41,1,0,0,0,3,1,9,18,1,2,0,0,0,2,1,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,20,1,0,0,0,0,0,1,0,1,1,0,0,4,6,1,0,2,2,0,1,0,50,0,0
2021-10-31T21,155,1,0,1,0,0,0,0,0,1,0,0,3,3,0,13,0,0,0,27,1,0,0,0,0,0,10,12,0,1,0,0,0,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,24,0,0,0,0,0,0,1,2,0,1,0,0,3,8,0,0,1,1,0,0,0,23,1,0
2021-10-31T22,142,0,0,1,0,0,0,0,0,0,0,1,2,3,0,6,0,0,0,37,1,0,0,0,1,0,11,10,1,2,0,0,0,2,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,1,1,0,2,1,0,1,1,0,1,5,0,0,0,1,0,1,0,31,0,0
2021-10-31T23,151,1,0,2,0,1,0,3,0,0,0,3,6,1,0,9,0,0,0,20,1,0,0,0,0,0,7,9,0,1,0,0,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,2,0,0,2,0,0,1,8,0,0,0,0,0,1,0,43,0,2
2021-11-01T00,115,1,0,1,0,0,0,2,0,0,0,2,5,0,0,7,0,1,0,8,0,0,0,0,0,0,3,9,1,2,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,1,0,1,0,0,2,0,0,1,9,0,0,0,0,2,1,2,39,0,1
2021-11-01T01,105,0,2,0,0,0,0,4,0,0,0,1,4,0,0,7,0,0,0,7,0,0,0,0,0,0,5,4,1,1,0,0,0,0,0,0,0,6,2,0,0,1,0,4,0,0,0,0,0,0,1,4,0,0,0,0,1,0,1,0,0,1,0,0,1,8,0,0,0,0,0,2,1,35,0,1
2021-11-01T02,111,1,0,0,0,1,0,4,0,0,0,0,8,0,0,9,0,0,0,4,0,0,0,0,0,1,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,2,0,1,0,0,2,0,0,1,11,0,0,1,1,0,3,1,46,0,1
2021-11-01T03,84,1,1,0,0,1,0,0,0,0,0,1,4,0,0,9,0,0,0,5,0,1,0,0,0,0,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,2,1,0,0,0,0,1,1,0,0,1,7,0,0,1,0,0,3,0,28,1,1
2021-11-01T04,75,0,1,0,0,1,0,0,0,0,0,0,1,0,0,8,0,0,0,4,0,0,0,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,0,0,2,2,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,2,0,33,0,1
2021-11-01T05,76,1,1,0,0,3,0,0,0,1,0,0,0,0,0,9,0,0,0,5,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,1,0,0,0,0,0,3,0,0,1,8,0,0,1,0,0,3,0,22,5,1
2021-11-01T06,96,1,1,0,0,8,0,0,0,1,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,1,2,0,4,0,0,4,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,3,3,0,0,2,2,0,0,0,0,0,5,0,0,1,6,0,0,1,1,0,1,0,27,1,1
2021-11-01T07,93,2,0,0,1,3,0,0,0,0,0,0,0,0,0,6,0,0,1,6,0,0,0,0,0,0,5,4,0,2,0,0,5,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,1,15,0,0,5,0,0,1,0,25,1,1
2021-11-01T08,96,0,0,0,1,1,0,0,1,1,0,0,1,0,0,7,0,0,0,13,0,0,0,0,0,1,2,5,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0,2,11,0,0,4,0,0,5,0,24,0,1
2021-11-01T09,120,1,0,0,1,5,0,0,0,0,0,0,2,0,0,5,0,0,0,23,0,0,0,0,3,0,10,5,0,1,0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,1,0,6,0,0,3,6,0,0,5,0,0,2,0,20,1,1
2021-11-01T10,135,1,0,0,1,3,0,0,0,0,0,0,2,1,0,4,0,0,0,29,0,0,0,0,2,1,7,4,0,2,0,0,0,0,0,0,0,14,1,0,0,1,0,0,1,0,0,0,0,0,0,6,0,0,0,2,2,0,0,1,0,2,0,0,2,6,0,0,14,0,0,5,1,18,0,2
2021-11-01T11,155,2,1,0,0,0,0,0,0,1,0,2,1,0,0,5,0,0,0,31,0,0,0,0,2,0,8,9,0,2,0,1,0,0,0,0,1,13,0,0,0,0,0,2,0,0,0,0,0,0,1,9,0,0,0,6,1,0,0,1,0,1,0,1,1,8,0,0,12,1,1,12,0,18,0,1
2021-11-01T12,178,1,0,0,0,1,0,0,0,2,0,1,2,0,0,8,0,0,0,31,0,0,0,0,2,1,7,8,0,4,0,0,1,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,5,11,0,0,0,6,0,0,1,0,0,5,0,0,2,18,0,0,17,0,1,8,1,25,0,1
2021-11-01T13,172,1,0,1,0,0,0,0,0,0,0,0,2,4,0,6,0,0,0,32,0,0,0,0,0,1,9,13,0,6,0,0,2,0,1,0,0,9,4,0,0,0,0,2,0,0,0,0,0,0,1,9,0,0,0,5,0,0,1,0,0,1,0,0,8,8,0,0,11,2,0,5,1,26,1,0
2021-11-01T14,197,1,0,0,1,0,0,0,0,4,0,2,4,3,0,4,0,0,0,38,0,0,0,0,1,2,11,9,0,4,0,0,3,0,1,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,5,0,0,3,3,0,3,1,0,2,11,0,0,18,2,0,6,0,29,0,1
2021-11-01T15,176,0,0,0,0,0,0,0,0,1,0,1,2,4,0,4,0,0,0,36,0,0,0,0,2,1,9,12,0,4,0,1,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,2,2,0,1,1,0,6,0,0,2,9,0,0,15,0,0,7,0,23,0,1
2021-11-01T16,197,1,0,0,0,0,0,0,0,2,0,1,1,2,1,6,0,0,0,44,0,0,0,0,7,0,14,11,0,5,0,0,0,0,0,0,0,27,0,0,0,0,0,2,0,0,0,0,0,0,0,10,1,0,0,2,0,0,2,2,0,3,0,0,3,9,0,0,7,0,0,3,0,30,0,1
2021-11-01T17,211,2,0,1,1,0,0,0,0,4,0,1,0,1,0,4,0,0,0,57,0,0,1,0,9,1,13,5,1,3,0,1,3,0,0,0,0,29,0,0,0,0,0,1,1,0,0,0,0,1,0,9,0,0,0,2,2,0,1,0,0,4,0,0,5,8,0,0,7,0,1,2,0,30,0,0
2021-11-01T18,270,1,0,1,1,0,1,0,0,5,0,0,5,1,0,4,0,0,0,83,0,0,0,0,11,0,10,13,1,7,0,1,2,1,0,0,0,29,0,0,0,0,0,1,0,0,0,0,0,1,0,15,2,0,0,0,2,0,1,4,0,4,0,0,11,8,0,0,3,1,1,1,0,37,1,0
2021-11-01T19,236,0,0,2,0,0,0,0,0,3,0,1,4,2,0,3,0,0,0,58,0,0,0,0,11,2,7,22,1,3,0,0,0,3,0,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,35,0,0,0,0,2,0,1,1,0,6,0,0,6,9,0,2,1,1,1,1,0,29,3,0
2021-11-01T20,219,2,0,0,0,0,1,0,0,1,0,1,4,2,0,8,0,0,0,44,0,0,0,0,7,0,8,24,1,4,0,0,0,1,0,0,1,20,0,0,0,0,0,3,0,0,0,0,0,0,0,24,0,0,0,0,1,0,4,1,0,2,0,0,4,7,0,2,2,2,0,0,0,38,0,0
2021-11-01T21,196,1,0,0,1,2,0,1,0,1,0,1,5,2,0,6,0,0,0,38,0,0,0,0,2,0,9,16,0,3,0,0,0,1,0,0,0,23,1,0,0,0,0,0,0,0,0,0,0,1,1,18,0,0,0,0,1,0,2,1,0,0,1,0,4,9,1,0,1,1,0,0,0,42,0,0
2021-11-01T22,184,2,0,3,0,0,0,1,0,1,0,5,7,3,0,4,0,0,0,38,0,0,0,1,1,0,10,9,1,1,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,0,0,1,0,0,1,0,0,1,0,0,4,7,0,2,2,0,0,0,1,33,0,0
2021-11-01T23,159,3,0,1,0,1,0,1,0,0,0,2,15,2,0,4,0,0,0,20,0,0,0,0,1,0,3,12,1,0,0,0,0,0,0,0,0,11,4,0,0,0,0,2,0,0,0,0,0,1,0,10,1,0,0,1,0,0,1,0,0,2,0,0,3,10,0,2,0,0,0,0,0,45,0,0
2021-11-02T00,159,3,0,0,1,1,0,2,0,0,0,0,21,0,0,6,0,0,0,12,0,0,0,0,2,0,3,5,1,1,0,0,0,0,0,0,0,2,6,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,1,0,1,0,0,3,6,0,2,1,1,0,0,2,62,5,0
2021-11-02T01,99,1,0,1,0,1,0,0,0,0,0,1,15,0,0,7,0,0,0,6,0,0,0,0,1,0,3,4,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,2,1,0,1,0,33,0,0
2021-11-02T02,101,2,0,0,0,2,0,0,0,0,0,0,13,0,0,4,0,0,0,4,0,1,0,0,1,0,1,4,0,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,2,10,0,0,4,1,0,1,0,40,0,0
2021-11-02T03,86,1,0,2,1,1,0,0,0,0,0,0,7,0,0,7,0,0,0,5,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,1,1,0,1,0,37,0,0
2021-11-02T04,108,1,1,0,0,0,0,0,0,0,0,1,5,0,0,5,0,0,0,3,0,0,0,0,1,0,13,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,1,0,2,0,0,2,11,0,0,1,0,0,1,0,43,1,0
2021-11-02T05,72,1,1,0,0,0,0,0,0,1,0,0,3,0,0,6,0,0,0,5,0,0,0,0,1,0,1,2,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,1,3,0,0,0,3,0,0,0,0,0,1,0,0,2,5,0,0,2,0,0,1,0,26,1,0
2021-11-02T06,95,3,0,0,0,2,0,0,0,0,0,0,1,1,0,8,0,0,0,8,0,0,0,0,1,0,4,2,0,3,0,0,0,0,0,1,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,1,0,2,0,0,2,8,0,0,6,0,0,0,0,29,0,0
2021-11-02T07,81,1,0,0,0,2,0,0,0,0,0,0,1,1,0,12,0,0,0,8,0,0,0,0,1,0,2,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,1,0,0,1,8,0,0,9,0,0,0,0,15,1,0
2021-11-02T08,102,1,1,1,1,1,0,0,0,1,0,0,1,1,0,4,0,0,0,13,0,0,0,0,3,0,3,4,0,3,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,1,5,0,0,0,0,0,2,0,0,3,7,0,0,11,0,0,1,0,22,1,0
2021-11-02T09,115,2,0,0,1,1,0,0,0,2,0,0,0,0,0,4,0,0,0,14,0,0,0,0,2,0,5,4,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,1,9,0,0,0,3,0,0,0,1,0,4,0,0,5,7,1,0,8,2,0,2,1,31,0,0
2021-11-02T10,102,0,1,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,16,0,0,0,0,2,0,3,5,0,2,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,6,0,0,0,1,0,2,0,0,3,6,0,0,10,0,0,4,0,18,0,1
