bucket,total,--,AR,AT,AU,BA,BE,BR,CA,CH,CL,CN,CO,CZ,DE,DK,EC,ES,FI,FR,GB,GE,GR,HK,HU,ID,IE,IN,IR,IT,JP,KH,KR,LA,LT,LU,MD,MM,MX,MY,NL,NO,NZ,PE,PH,PL,PT,RO,RS,RU,RW,SA,SE,SG,TH,TR,TW,UA,US,VN,ZA
2021-11-07T00,134,4,0,0,1,0,1,3,14,2,0,6,0,0,11,0,0,2,0,5,12,0,2,1,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,1,0,0,0,3,0,0,3,8,3,0,3,0,31,0,0
2021-11-07T01,122,3,0,0,1,0,0,4,15,0,0,5,0,0,7,0,0,1,0,2,6,0,0,0,0,0,0,1,0,5,0,1,1,0,0,0,0,0,0,1,5,0,1,1,1,1,0,0,0,0,0,0,2,12,6,0,3,0,31,6,0
2021-11-07T02,106,2,0,0,1,0,0,1,12,0,0,4,0,0,4,0,0,0,0,2,5,0,0,1,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,8,0,1,0,0,0,0,0,0,3,0,0,2,10,3,0,3,0,39,0,0
2021-11-07T03,111,2,0,0,1,0,0,1,12,0,0,4,0,0,4,0,0,1,0,2,3,0,0,1,0,0,0,1,0,2,1,0,0,0,2,0,0,0,0,1,7,0,1,0,0,0,0,0,0,5,0,0,2,13,4,0,6,0,33,2,0
2021-11-07T04,104,3,0,0,1,0,0,1,4,0,0,9,1,0,4,0,0,0,0,2,4,0,0,3,0,1,0,0,0,2,0,1,0,0,1,0,0,0,0,1,5,0,2,0,0,0,0,0,0,2,0,0,2,16,4,0,7,0,28,0,0
2021-11-07T05,101,4,0,1,3,0,0,0,3,0,0,5,0,0,3,0,0,0,0,4,5,0,0,3,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,6,0,1,0,1,0,0,1,0,1,0,0,2,10,6,0,5,0,31,1,0
2021-11-07T06,103,3,0,0,1,1,0,0,3,1,0,7,0,1,5,0,1,0,0,4,2,0,0,5,0,0,1,1,0,2,2,0,0,0,0,0,0,1,0,1,4,0,1,0,1,0,0,1,0,2,0,0,3,10,5,0,11,0,20,3,0
2021-11-07T07,86,3,0,0,1,0,0,0,2,1,0,8,0,0,5,0,0,0,0,1,3,0,0,3,0,2,0,0,0,2,0,0,0,1,2,0,0,0,1,2,4,0,1,0,0,0,0,0,0,3,0,0,1,10,9,1,3,0,17,0,0
2021-11-07T08,109,4,1,0,1,0,1,1,1,1,0,9,0,1,12,0,0,2,0,3,4,0,0,2,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,3,3,0,0,0,1,0,0,1,0,3,0,0,2,14,8,0,2,0,25,0,0
2021-11-07T09,116,1,0,0,0,0,0,0,1,1,0,8,0,0,21,0,0,1,0,6,4,0,0,2,1,1,2,0,0,6,3,0,0,0,1,0,0,0,0,0,10,0,1,0,2,0,0,0,0,4,0,0,4,13,8,1,2,0,12,0,0
2021-11-07T10,172,4,0,1,1,0,1,1,2,2,0,10,0,0,34,0,0,4,0,8,6,0,1,3,1,1,2,0,1,9,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,2,0,0,1,5,0,0,4,12,14,1,4,1,24,1,1
2021-11-07T11,158,1,0,0,0,0,0,1,1,3,0,11,0,0,40,0,0,3,1,7,5,0,1,1,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,1,10,0,0,0,3,2,0,0,0,5,0,0,7,10,14,0,5,1,14,1,1
2021-11-07T12,183,2,0,0,0,0,1,1,3,1,0,12,0,0,39,0,0,4,0,6,11,1,0,0,0,0,0,0,0,5,0,0,1,0,3,0,0,0,0,0,16,0,0,0,2,2,0,1,0,6,0,0,8,14,14,1,3,1,23,1,1
2021-11-07T13,174,1,0,1,1,0,2,2,2,0,1,6,0,0,31,0,0,2,0,10,13,0,1,0,0,0,1,0,0,6,0,0,0,0,2,0,0,0,0,1,16,0,0,0,3,2,0,0,0,3,0,1,7,13,24,2,3,1,15,1,0
2021-11-07T14,197,2,0,1,0,0,1,0,2,1,2,9,0,0,31,0,0,2,1,12,12,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,27,0,0,0,3,1,0,1,0,3,0,0,5,11,23,1,9,1,23,0,1
2021-11-07T15,200,1,1,0,1,0,0,2,1,2,1,10,0,2,36,0,0,3,1,10,17,0,0,1,0,0,0,0,0,12,0,0,0,0,2,0,0,0,0,1,24,0,0,0,1,1,0,0,0,3,0,0,6,15,25,0,9,1,10,0,1
2021-11-07T16,235,1,0,0,1,0,2,1,1,3,0,10,0,0,59,0,0,7,0,15,15,0,0,2,2,0,0,0,0,20,0,0,0,0,2,1,0,0,0,1,17,1,0,0,1,2,1,0,0,4,0,0,3,9,19,0,6,0,26,2,1
2021-11-07T17,260,4,1,0,0,0,1,1,2,4,0,8,1,0,71,1,0,12,0,20,19,0,0,2,0,0,0,0,0,26,0,0,0,0,2,0,1,0,0,0,17,0,0,0,1,1,0,1,0,6,0,0,4,8,21,0,2,1,22,0,0
2021-11-07T18,243,2,1,0,0,0,2,0,4,2,0,5,0,0,66,2,0,12,0,8,20,0,0,1,1,0,0,0,0,15,0,0,0,0,1,0,0,0,0,0,18,1,0,0,1,3,0,2,0,6,0,0,13,10,12,2,1,1,29,2,0
2021-11-07T19,240,2,1,0,0,1,2,1,9,2,0,10,0,1,58,1,0,7,0,9,23,0,0,0,2,0,3,0,0,12,0,0,0,0,0,0,0,0,1,0,28,0,0,0,1,4,1,2,0,3,0,0,9,10,5,2,1,0,23,6,0
2021-11-07T20,229,3,0,0,0,0,1,2,20,5,0,7,0,1,50,0,0,5,0,8,18,0,0,3,1,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1,2,2,2,0,3,0,0,8,7,5,2,1,0,38,0,0
2021-11-07T21,184,2,0,0,0,1,3,1,10,4,0,4,0,0,43,0,0,3,0,7,14,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,2,1,2,0,2,0,0,3,8,2,1,1,0,27,1,0
2021-11-07T22,159,2,0,1,1,1,1,3,10,3,0,0,0,0,22,0,0,0,1,5,17,0,0,1,1,1,0,0,0,16,0,0,0,0,3,0,0,0,0,0,14,0,0,0,0,1,1,0,0,3,0,0,2,10,0,1,2,0,35,1,0
2021-11-07T23,159,3,2,1,1,1,1,5,10,1,0,7,1,0,22,0,0,1,0,5,11,0,0,1,0,0,1,1,0,14,0,1,2,0,1,0,0,0,1,1,10,1,0,0,0,2,2,0,0,1,2,0,1,10,1,0,2,0,32,0,0
2021-11-08T00,79,2,1,0,1,0,0,0,7,0,0,3,0,0,5,0,0,0,0,2,8,0,0,1,0,0,1,1,0,5,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,1,9,3,0,2,0,21,0,0
