bucket,total,--,AE,AR,AT,AU,BA,BE,BG,BH,BR,BY,CA,CH,CL,CN,CO,CZ,DE,DK,ES,FI,FR,GB,GR,HK,HR,HU,ID,IE,IL,IN,IR,IT,JP,KH,KR,KZ,LA,LB,LT,LU,MD,MN,MO,MX,MY,NL,NO,NP,PE,PH,PL,PT,RO,RU,RW,SC,SE,SG,TH,TJ,TR,TW,UA,US,VN
2022-01-30T00,206,2,0,1,0,0,0,0,1,0,1,0,20,3,1,16,3,0,26,0,4,0,6,9,0,1,0,0,2,4,0,3,0,18,3,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,1,1,1,3,1,5,0,0,1,9,0,0,0,0,0,46,5
2022-01-30T01,186,5,0,1,1,0,0,0,0,0,0,0,14,4,1,15,2,0,24,0,2,0,6,5,0,0,0,0,1,1,0,4,0,5,3,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,2,0,0,2,1,5,0,1,5,10,0,0,0,0,1,59,0
2022-01-30T02,145,1,0,0,1,2,0,0,0,0,1,0,21,0,1,11,0,0,14,0,2,0,2,3,0,1,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,2,0,1,1,4,0,0,1,6,2,0,0,1,1,56,0
2022-01-30T03,121,0,4,0,1,3,0,0,0,0,0,0,19,0,0,13,0,0,12,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,5,3,0,0,0,0,45,0
2022-01-30T04,124,1,7,1,2,8,0,0,0,0,1,0,12,0,0,15,0,0,6,0,1,0,2,1,0,3,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,1,2,0,0,1,6,1,0,0,0,1,43,0
2022-01-30T05,145,0,1,2,0,8,0,0,0,0,2,0,8,2,1,20,0,0,10,0,1,0,2,4,0,1,0,0,0,0,0,2,0,0,15,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,1,5,0,0,1,5,2,1,0,1,0,42,0
2022-01-30T06,116,0,0,2,0,1,0,0,0,0,1,0,5,2,1,19,0,0,8,0,1,0,2,3,0,2,0,0,1,0,0,3,0,0,3,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,5,0,0,2,7,5,1,0,3,0,32,1
2022-01-30T07,111,1,5,2,0,2,0,0,0,0,0,0,4,0,0,15,1,0,11,0,1,0,2,2,0,1,0,0,1,0,0,2,0,1,3,0,1,0,0,0,1,1,0,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,5,1,0,0,6,1,32,3
2022-01-30T08,131,2,2,0,0,4,0,1,0,0,0,0,4,1,0,19,1,0,15,0,2,0,2,3,0,2,0,0,0,0,1,1,0,3,3,1,1,0,0,0,0,0,0,0,0,2,2,2,0,0,0,1,0,0,1,5,0,0,3,6,3,0,0,8,1,28,1
2022-01-30T09,143,2,0,0,0,0,0,1,0,0,0,0,3,0,0,18,0,0,30,0,2,0,5,2,0,1,0,0,0,0,1,0,0,7,1,1,1,1,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,1,1,6,0,0,4,5,4,0,1,9,0,28,0
2022-01-30T10,200,0,0,0,0,1,0,3,0,0,0,0,4,2,0,20,0,0,60,0,4,0,12,2,1,2,0,0,0,0,1,1,0,10,1,0,1,1,0,0,0,0,0,0,0,0,0,13,0,0,0,1,1,1,1,2,0,0,6,6,5,0,1,9,2,26,0
2022-01-30T11,226,0,0,0,1,2,0,0,0,0,3,0,2,1,0,32,0,0,52,0,5,2,11,8,0,3,0,0,0,0,0,1,0,3,6,0,2,1,0,0,0,0,0,0,0,1,0,12,0,0,0,4,3,3,1,5,0,0,3,7,3,0,2,3,1,42,1
2022-01-30T12,180,0,0,0,0,0,0,0,0,0,1,0,5,2,1,24,0,0,39,0,2,3,8,7,0,2,0,0,0,3,0,1,0,4,8,0,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,4,1,2,3,3,0,0,7,5,8,0,0,5,0,16,0
2022-01-30T13,184,0,0,0,3,1,0,1,0,0,1,0,4,0,0,16,0,0,53,0,1,0,11,7,0,1,0,0,0,0,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,1,0,19,0,0,0,3,0,3,0,3,0,0,10,5,6,0,0,6,0,22,0
2022-01-30T14,257,0,0,0,2,0,0,2,0,0,1,0,6,3,1,17,0,0,64,0,1,0,11,12,0,5,0,1,0,2,0,1,0,13,2,0,1,0,0,0,0,0,0,0,0,0,1,22,0,1,0,2,1,2,1,7,0,0,4,6,7,0,2,5,1,50,0
2022-01-30T15,280,1,0,1,2,0,0,2,0,0,1,0,5,5,1,16,0,0,65,0,2,0,13,10,0,2,0,0,0,1,0,0,0,26,1,0,0,0,2,0,1,0,0,0,0,1,2,19,1,0,0,1,2,1,0,8,0,0,16,6,7,0,2,6,1,50,0
2022-01-30T16,350,1,1,1,2,0,1,2,0,0,1,0,7,7,1,15,0,0,98,0,6,0,11,17,1,1,0,0,0,0,0,1,0,43,2,0,0,0,1,0,0,0,0,0,0,0,1,25,1,0,0,1,1,3,2,10,1,0,10,7,8,0,2,4,2,52,0
2022-01-30T17,361,0,0,0,3,0,1,1,0,0,0,0,8,5,0,9,0,0,97,0,9,0,16,20,1,0,0,1,0,0,0,0,0,42,4,0,0,0,0,1,0,0,0,0,0,0,0,20,0,0,0,2,0,3,1,9,0,0,20,7,6,0,1,3,2,65,4
2022-01-30T18,397,1,0,0,3,0,1,2,0,1,2,1,17,4,1,21,0,1,119,0,17,0,17,16,1,1,0,0,1,0,1,1,0,41,2,0,1,0,0,0,0,0,0,0,0,0,0,23,1,0,0,4,3,1,1,7,0,0,10,6,5,0,1,0,2,60,0
2022-01-30T19,375,0,0,0,4,0,1,3,0,0,4,1,16,6,0,21,0,0,99,0,7,0,12,22,1,0,3,0,1,1,0,2,0,25,5,0,1,0,0,0,0,0,1,0,0,0,1,45,1,0,0,1,1,2,1,5,0,0,9,9,5,0,3,1,0,55,0
2022-01-30T20,333,0,0,1,4,0,1,1,0,0,4,0,17,5,0,19,0,0,86,0,3,0,10,20,0,1,0,0,1,0,1,2,1,25,3,0,1,0,0,0,0,0,0,0,0,3,1,28,2,0,0,2,1,1,1,6,0,0,7,11,4,0,2,1,1,56,0
2022-01-30T21,243,0,1,1,1,0,1,2,0,0,0,0,14,3,0,11,0,0,54,0,3,0,13,20,0,0,0,0,0,0,2,0,0,19,1,0,0,0,0,0,0,0,0,0,0,3,0,19,0,0,0,1,4,1,1,7,0,0,2,6,3,0,1,0,0,49,0
2022-01-30T22,224,1,0,0,2,0,0,2,0,0,0,0,11,1,1,11,0,0,42,0,6,0,6,19,0,2,0,0,0,0,1,0,1,21,4,0,0,0,0,1,0,0,0,0,0,2,0,14,0,0,0,1,3,3,1,6,0,0,3,8,2,0,1,0,0,48,0
2022-01-30T23,167,1,0,0,0,0,0,0,0,0,1,0,11,0,0,9,0,0,18,1,2,0,3,15,0,0,0,0,0,0,0,0,0,17,2,0,1,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,2,0,0,5,0,0,1,8,3,0,0,0,0,59,0
2022-01-31T00,121,0,0,1,0,0,0,0,0,0,0,0,14,0,0,4,0,0,12,0,2,0,0,4,0,1,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,1,0,0,1,0,0,1,5,4,0,0,0,0,57,0
