bucket,total,--,AD,AE,AR,AT,AU,BA,BE,BG,BO,BR,BY,CA,CH,CI,CL,CN,CO,CR,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GM,GR,GT,HK,HR,HU,ID,IE,IL,IN,IR,IS,IT,JP,KE,KR,KZ,LB,LK,LT,LU,MK,MM,MO,MT,MX,MY,MZ,NL,NO,NP,NZ,PE,PH,PK,PL,PT,PY,RE,RO,RS,RU,RW,SC,SE,SG,SI,SK,SV,TH,TN,TR,TT,TW,TZ,UA,US,UY,VE,VI,VN,ZA,ZW
2022-02-20T00,158,2,0,0,0,0,0,1,0,0,1,3,0,14,0,0,0,15,0,0,0,29,0,0,0,0,0,1,4,0,0,6,8,0,0,0,0,1,0,0,0,0,0,1,0,0,8,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,1,0,0,0,0,0,0,3,0,0,1,0,3,0,0,1,6,0,0,0,1,0,0,0,2,0,0,35,0,0,0,1,0,0
2022-02-20T01,123,1,0,0,0,0,0,1,0,0,0,1,0,13,0,0,0,12,0,0,0,14,0,0,0,0,0,0,2,0,0,6,7,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,5,0,0,1,6,0,0,0,2,0,0,0,2,0,0,33,0,0,0,1,0,0
2022-02-20T02,120,1,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0,14,0,0,0,8,0,0,0,0,0,0,1,0,0,5,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,6,0,0,0,0,0,0,0,7,0,2,39,0,0,0,0,0,0
2022-02-20T03,113,1,0,1,0,0,2,0,0,0,0,0,0,13,0,0,0,16,0,0,0,6,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,6,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1,0,3,0,0,1,0,1,0,0,0,0,0,0,0,5,0,0,0,7,0,0,0,2,0,0,0,3,0,0,33,0,0,0,1,0,0
2022-02-20T04,105,2,0,1,2,0,1,0,0,1,0,0,0,11,0,0,0,13,0,0,0,3,0,0,0,0,0,0,1,0,0,4,2,0,0,0,0,6,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,5,0,0,0,8,0,0,0,2,0,0,0,2,0,1,28,0,0,0,1,0,0
2022-02-20T05,115,2,0,0,3,0,3,0,0,0,0,0,1,8,1,0,0,16,1,0,0,5,0,0,0,0,0,0,2,0,0,3,2,0,0,1,0,8,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,8,0,0,0,0,0,0,0,0,0,1,33,0,0,0,0,0,0
2022-02-20T06,109,1,0,0,2,1,0,0,0,0,0,1,2,4,0,0,0,20,0,0,0,8,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,8,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,5,0,0,1,7,0,0,0,4,0,0,0,3,0,1,26,0,0,0,0,0,0
2022-02-20T07,96,1,0,0,0,0,2,0,0,0,1,2,0,3,0,0,0,14,0,0,0,6,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,1,6,0,0,0,11,0,0,0,0,0,0,21,0,0,0,1,0,0
2022-02-20T08,138,2,0,3,1,0,2,0,1,0,1,0,0,2,0,0,0,13,0,0,0,17,0,0,0,0,0,0,1,0,0,4,2,0,0,0,0,9,0,0,0,0,0,2,0,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,12,0,0,0,19,0,0,0,4,0,1,24,0,0,0,1,0,0
2022-02-20T09,159,1,0,0,0,1,2,0,1,0,0,0,1,2,1,0,0,19,0,0,0,32,0,0,0,0,0,0,3,0,0,8,3,0,0,0,0,9,0,0,3,3,0,2,0,0,10,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,3,5,0,0,0,8,0,1,0,1,0,0,20,0,0,0,0,0,0
