bucket,total,--,AE,AL,AM,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BO,BR,BY,BZ,CA,CH,CL,CM,CN,CO,CR,CU,CZ,DE,DK,EC,EG,ES,ET,FI,FR,GB,GR,HK,HR,HU,ID,IE,IL,IN,IR,IS,IT,JP,KE,KH,KR,KZ,LB,LK,LT,LU,MA,MC,MD,MK,MM,MN,MO,MR,MT,MX,MY,MZ,NG,NL,NO,NP,NZ,PA,PE,PH,PL,PR,PT,PY,RE,RO,RS,RU,RW,SC,SE,SG,SK,SN,TH,TN,TR,TW,UA,UG,US,UY,UZ,VE,VN,ZA
2022-04-03T00,133,1,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,11,0,0,0,12,0,0,0,0,10,0,0,0,0,0,0,4,5,0,1,0,0,0,0,0,1,0,0,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,5,0,0,2,0,0,0,0,0,59,0,0,0,0,0
2022-04-03T01,106,1,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,16,1,0,0,9,0,0,0,0,3,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,6,0,0,1,0,1,0,0,0,39,0,0,1,2,0
2022-04-03T02,104,1,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,14,1,1,0,11,0,0,0,0,4,1,0,0,0,0,0,1,2,0,9,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,9,0,0,1,0,0,0,0,0,28,0,0,0,0,0
2022-04-03T03,113,0,0,0,0,2,1,2,0,0,1,0,0,0,0,1,1,0,11,0,0,0,10,0,0,0,0,3,0,0,0,0,0,0,2,2,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,11,0,0,5,0,0,1,0,1,39,0,0,0,4,0
2022-04-03T04,107,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,8,0,0,0,11,1,0,0,0,3,0,0,0,0,0,0,2,1,0,7,0,1,1,0,0,0,0,0,1,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,1,4,0,0,0,10,0,0,4,0,0,0,0,1,32,0,0,0,0,0
2022-04-03T05,112,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,12,1,0,0,2,3,0,0,0,0,0,0,1,2,0,11,0,1,1,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,3,2,0,0,0,0,0,0,5,0,0,0,11,0,0,6,0,0,4,0,0,21,1,0,0,0,0
2022-04-03T06,138,1,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,5,0,0,0,12,0,0,0,0,8,0,0,0,0,0,0,4,2,1,16,0,1,1,0,0,0,1,0,3,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,1,0,0,1,0,0,0,0,0,1,0,4,0,0,0,6,0,0,5,0,0,11,0,0,32,1,1,0,0,0
2022-04-03T07,130,0,0,0,0,2,0,2,0,0,0,1,1,0,0,0,0,0,3,1,0,0,10,0,0,0,0,16,0,0,0,0,0,0,2,4,1,22,0,1,0,0,0,0,1,0,5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,6,0,0,3,10,0,0,0,0,0,3,0,0,25,1,1,0,0,0
2022-04-03T08,127,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,25,0,0,0,1,0,0,11,4,0,13,0,0,0,5,0,1,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,0,1,0,0,0,0,2,0,4,0,0,0,6,0,0,4,0,1,1,0,0,22,0,0,0,0,0
2022-04-03T09,145,0,0,0,0,0,3,0,0,0,0,0,1,0,0,2,0,0,1,1,0,0,5,0,0,0,0,32,0,0,0,3,0,0,7,5,0,17,0,0,0,1,0,0,1,0,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,1,0,0,0,0,0,0,5,0,0,1,6,0,0,6,0,1,1,0,0,26,0,0,0,1,0
