bucket,total,--,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BO,BR,CA,CH,CL,CN,CO,CY,CZ,DE,DK,DO,EG,ES,FI,FR,GB,HK,HN,HR,HU,ID,IE,IN,IR,IT,JP,KE,KG,KH,KR,KZ,LA,LT,LU,LV,MA,MK,MO,MW,MX,MY,NG,NL,NO,NP,NZ,OM,PE,PH,PK,PL,PS,PT,RO,RS,RU,RW,SD,SE,SG,SY,TH,TR,TW,UA,US,UY,UZ,VE,VI,VN,ZA
2022-05-29T00,115,2,3,0,1,0,0,1,0,0,0,0,1,8,0,0,27,0,0,0,7,0,0,0,0,0,2,7,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,1,7,0,1,0,2,0,27,0,0,1,0,1,0
2022-05-29T01,80,1,1,0,0,0,0,0,0,0,0,0,0,7,2,1,12,0,0,0,6,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,1,0,0,0,1,0,0,2,0,0,1,7,0,0,0,5,0,18,0,0,0,0,3,0
2022-05-29T02,103,3,1,0,2,0,0,0,0,0,0,0,0,8,0,0,12,0,0,0,3,0,0,0,1,0,2,5,5,0,0,0,3,0,3,0,0,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,2,0,0,0,1,0,0,2,0,0,1,5,0,1,0,4,0,27,0,0,0,0,1,1
2022-05-29T03,90,2,0,0,1,0,0,0,0,0,0,0,1,9,1,0,7,1,0,0,2,1,0,0,1,0,4,2,2,0,0,0,1,0,1,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,6,0,0,1,5,0,26,0,0,0,0,0,1
2022-05-29T04,85,3,0,0,2,0,0,0,0,0,0,0,0,5,0,0,13,1,0,0,2,0,0,1,1,0,2,2,1,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,1,1,0,0,0,0,0,2,0,0,1,6,0,1,0,6,0,23,0,0,0,0,0,0
2022-05-29T05,90,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,14,1,0,0,5,0,0,1,1,0,3,3,4,0,0,0,2,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,2,5,0,1,0,6,0,21,0,0,0,0,0,1
2022-05-29T06,101,3,0,0,2,0,0,0,0,0,1,0,1,2,3,0,10,0,0,0,10,0,0,1,0,0,2,5,5,0,0,0,1,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,7,0,5,0,8,0,20,0,0,0,0,0,0
2022-05-29T07,99,4,0,0,1,0,0,0,0,1,0,0,0,2,0,0,14,0,0,0,7,0,0,0,1,0,2,5,7,0,0,0,1,0,0,0,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,3,6,0,5,0,5,0,15,0,0,0,0,2,0
2022-05-29T08,132,2,1,0,2,0,0,0,0,2,0,0,0,1,0,1,25,0,0,1,14,1,0,0,1,1,4,3,9,0,0,2,0,2,1,0,5,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,1,0,0,1,0,0,0,0,0,0,2,0,0,1,9,0,1,1,6,0,17,0,0,0,0,5,0
2022-05-29T09,133,6,1,0,1,0,0,0,0,1,0,0,0,1,0,1,16,0,1,0,18,0,1,0,4,0,6,5,7,0,0,1,0,0,1,0,4,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,2,0,1,0,0,3,0,0,3,8,0,1,2,7,0,16,0,0,0,0,2,0
2022-05-29T10,132,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,19,0,0,0,2,0,4,3,8,0,0,1,0,0,0,0,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,2,5,0,5,1,8,0,17,0,0,0,0,1,0
2022-05-29T11,120,2,0,1,2,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,19,1,0,0,2,0,2,3,4,0,0,2,0,0,0,0,4,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,1,0,0,2,0,0,0,1,1,0,3,1,0,2,6,0,8,3,12,1,9,0,0,0,0,0,0
2022-05-29T12,145,4,1,1,1,0,0,0,0,1,0,0,0,0,0,0,17,0,0,1,13,1,0,0,0,0,7,6,7,0,0,1,0,0,0,0,2,3,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,3,5,0,9,1,6,1,30,0,0,0,0,2,0
2022-05-29T13,189,4,0,1,0,0,0,0,0,0,0,0,2,1,2,0,9,0,0,0,22,0,0,0,3,0,8,15,13,0,0,1,1,0,0,0,8,3,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,16,0,0,1,0,0,2,0,0,0,1,2,0,6,0,0,7,5,0,7,2,15,0,26,0,0,0,0,3,0
2022-05-29T14,209,4,0,1,0,0,0,0,0,1,0,0,3,4,1,0,14,0,0,0,24,0,0,0,1,0,6,13,22,0,0,0,0,1,0,0,15,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,15,0,0,1,0,0,3,0,0,0,1,2,0,4,0,0,12,5,0,11,1,19,0,16,0,0,0,0,0,0
2022-05-29T15,179,4,0,3,0,0,0,0,0,0,0,0,2,5,2,0,11,0,0,0,25,0,0,0,1,0,9,7,15,0,0,0,0,0,0,0,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,0,1,0,0,3,0,0,0,0,0,0,4,0,0,5,5,0,9,2,19,0,13,0,0,0,0,2,0
2022-05-29T16,188,2,1,4,0,0,0,0,0,0,0,0,1,5,0,0,10,0,0,0,32,0,0,0,4,0,10,11,9,0,0,3,0,0,1,0,11,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,2,0,1,0,1,0,0,5,0,0,8,6,0,8,1,13,0,18,0,0,0,0,1,0
2022-05-29T17,214,2,0,3,0,0,1,0,0,2,0,0,3,6,2,0,34,0,0,0,44,0,0,0,7,0,4,13,3,0,0,1,0,0,1,0,15,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,2,0,3,0,0,7,5,0,6,1,5,0,20,0,0,0,0,1,0
2022-05-29T18,199,3,0,2,0,0,0,0,0,1,0,0,3,8,2,0,8,0,0,0,41,1,0,0,4,0,8,15,5,0,0,0,0,0,1,0,19,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,23,0,0,0,0,0,0,0,1,0,2,0,0,4,0,0,2,5,0,6,2,4,0,26,0,0,0,0,0,0
2022-05-29T19,199,2,1,4,0,0,0,0,0,1,0,0,1,3,4,1,8,0,0,0,43,0,0,0,6,0,5,13,3,0,0,1,0,1,0,0,24,2,0,0,1,3,0,0,0,0,0,0,2,0,0,0,1,0,16,1,0,0,0,0,0,0,3,0,1,0,0,6,0,0,3,5,0,4,2,2,1,24,0,0,0,0,1,0
