bucket,total,--,AE,AM,AR,AT,AU,BD,BE,BG,BO,BR,CA,CH,CL,CN,CO,CZ,DE,DK,DO,ES,ET,FI,FR,GB,GR,HK,HR,ID,IE,IL,IN,IR,IT,JP,KE,KG,KH,KR,KZ,MO,MX,MY,NL,NO,NZ,PH,PK,PL,PS,PT,RO,RU,RW,SE,SG,SY,TH,TR,TW,UA,US,UY,UZ,VE,VN,ZA
2022-07-10T00,95,0,1,0,0,0,1,0,0,0,0,1,5,0,0,2,0,0,8,0,0,2,1,0,1,6,0,0,0,0,0,0,1,0,2,2,0,0,0,3,0,0,0,0,6,0,0,1,0,1,0,0,0,5,1,1,5,0,1,0,7,0,30,0,0,1,0,0
2022-07-10T01,116,0,0,1,0,0,0,0,0,0,0,1,5,0,0,1,1,0,4,0,0,1,0,0,3,3,0,1,0,0,0,0,3,0,0,1,0,0,0,1,1,0,0,0,7,0,0,0,0,1,0,0,0,4,0,1,6,0,1,0,3,0,64,0,0,1,0,1
2022-07-10T02,78,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,4,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,1,8,0,0,0,6,0,32,0,0,0,0,1
2022-07-10T03,81,0,0,0,0,0,2,0,0,1,0,0,8,0,0,2,1,0,2,1,0,0,0,0,1,2,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,6,0,0,1,0,0,0,0,0,4,1,1,10,0,0,0,2,0,30,0,0,0,0,0
2022-07-10T04,89,2,0,0,0,0,3,0,0,0,0,1,6,0,0,3,1,0,5,1,0,0,0,0,1,2,0,3,0,0,0,0,1,0,0,2,0,0,0,2,0,0,1,1,7,0,0,1,0,0,0,0,0,3,0,1,7,0,0,1,3,0,31,0,0,0,0,0
2022-07-10T05,75,3,0,0,1,0,3,0,0,0,0,1,5,0,0,2,1,0,4,0,0,0,0,0,0,1,0,3,0,0,0,0,2,0,0,1,1,0,0,4,0,0,0,0,7,0,0,1,0,0,0,0,0,4,0,1,7,0,1,0,3,0,19,0,0,0,0,0
2022-07-10T06,81,1,0,0,0,0,1,0,0,0,0,0,3,0,0,5,0,0,6,0,0,1,0,0,1,1,0,5,0,1,0,0,1,0,1,1,0,0,0,2,0,0,0,0,6,0,0,1,0,0,0,0,0,3,0,1,5,0,1,2,7,0,24,0,0,0,1,0
2022-07-10T07,87,0,0,0,0,0,3,0,0,0,1,0,2,0,0,2,0,0,9,0,0,0,0,0,4,2,0,4,0,1,0,0,1,0,0,3,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0,1,8,0,2,0,8,0,19,0,0,0,2,0
2022-07-10T08,90,1,1,0,1,0,1,0,1,0,0,1,2,1,0,2,0,0,19,1,0,1,0,2,5,1,1,5,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,1,6,0,0,1,0,0,0,0,0,4,0,1,5,0,2,0,4,0,15,0,0,0,1,0
2022-07-10T09,118,1,0,0,0,0,1,0,1,0,0,0,2,0,0,2,0,0,20,0,0,5,0,1,9,2,0,3,0,1,0,0,1,0,7,3,0,0,0,2,0,0,0,0,10,0,0,1,0,0,0,0,0,3,0,1,8,0,7,2,5,0,20,0,0,0,0,0
2022-07-10T10,121,1,0,0,0,1,2,0,0,0,0,0,3,0,0,2,0,0,21,0,0,4,0,1,8,3,0,3,0,1,0,0,2,0,1,4,0,0,0,3,0,1,0,0,5,0,0,1,0,1,0,0,0,2,0,1,6,0,4,0,4,0,36,0,0,0,0,0
2022-07-10T11,123,0,0,0,1,0,1,0,0,0,0,0,3,1,0,3,0,0,16,0,0,1,0,1,6,5,0,1,0,0,0,0,1,0,1,2,1,1,0,3,0,1,0,0,4,0,0,1,0,3,0,0,0,5,0,1,9,0,5,0,8,2,35,0,0,0,1,0
2022-07-10T12,110,1,0,0,1,0,1,0,0,0,0,1,2,1,0,3,0,0,20,0,0,1,0,0,2,4,0,4,0,0,0,1,0,0,4,1,0,1,0,0,0,0,0,1,12,0,0,2,0,3,0,0,0,4,0,2,6,0,0,1,9,1,19,0,0,0,2,0
2022-07-10T13,115,0,0,0,2,1,1,0,1,0,0,2,2,1,0,1,0,0,23,1,0,1,0,0,9,5,0,3,0,0,0,0,0,0,7,2,0,0,0,4,0,1,0,0,7,0,0,1,0,1,0,1,0,4,0,1,7,0,2,2,6,0,16,0,0,0,0,0
2022-07-10T14,121,0,0,0,0,0,1,0,0,0,0,1,7,2,0,1,0,0,23,1,0,4,0,2,8,4,0,9,0,0,0,0,0,0,5,1,0,0,0,2,0,0,1,0,15,0,0,2,0,0,0,1,0,2,0,1,5,0,0,1,6,1,14,0,0,0,1,0
