bucket,total,--,AE,AM,AR,AT,AU,AZ,BD,BE,BG,BO,BR,BY,CA,CH,CL,CN,CO,CY,CZ,DE,DK,DZ,EC,EG,ES,FI,FR,GB,GR,GT,HK,HR,HU,ID,IE,IL,IN,IR,IT,JP,KH,KR,KZ,LT,LU,MA,MX,MY,NG,NI,NL,NO,NZ,PE,PH,PL,PT,RO,RS,RU,RW,SE,SG,SK,SN,TH,TR,TW,UA,US,UY,UZ,VN,ZA
2022-09-11T00,93,5,0,0,0,0,1,0,0,1,0,0,0,0,4,1,0,5,0,0,0,11,0,0,0,0,2,2,2,5,0,0,0,0,0,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,3,0,2,6,0,0,0,0,1,0,29,0,0,1,0
2022-09-11T01,170,2,0,0,0,0,0,1,0,0,1,0,0,0,11,1,1,8,2,1,1,12,1,0,0,0,2,1,4,10,0,0,1,0,1,2,2,0,1,0,2,2,2,2,0,2,1,1,0,2,0,0,3,1,2,0,0,0,0,1,1,6,0,1,7,1,0,0,1,1,0,61,0,0,1,3
2022-09-11T02,111,5,0,0,0,0,1,0,0,0,0,0,0,0,7,1,0,31,0,0,0,4,0,0,0,0,1,1,4,1,0,0,1,0,1,0,0,0,0,0,2,2,0,2,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,2,0,0,6,0,0,1,0,0,0,34,0,0,0,0
2022-09-11T03,86,1,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,5,0,0,0,8,1,0,0,0,1,0,6,2,1,0,2,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,2,0,1,6,0,0,1,0,2,0,31,0,0,0,0
2022-09-11T04,96,3,0,0,1,0,1,0,0,0,0,0,2,0,5,0,0,6,0,0,0,4,0,0,0,0,1,1,4,3,0,0,1,0,0,0,2,1,0,0,1,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,3,0,1,6,0,0,1,0,0,0,43,0,0,0,0
2022-09-11T05,107,3,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,3,0,0,0,5,0,0,0,0,3,0,3,2,0,0,4,0,0,0,3,0,5,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,6,1,0,4,0,2,0,48,0,0,0,0
2022-09-11T06,112,2,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,4,0,0,0,6,0,0,0,0,2,1,3,1,0,0,6,0,0,0,7,0,1,0,2,8,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0,0,3,0,3,5,0,0,3,0,7,0,36,0,0,1,0
2022-09-11T07,90,2,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,2,0,0,0,8,0,0,0,0,1,0,3,1,0,0,10,0,0,0,4,0,0,0,2,4,0,0,0,0,0,1,0,0,1,0,3,0,0,0,2,3,0,0,0,3,0,3,5,0,0,4,1,1,0,20,0,1,0,0
2022-09-11T08,93,2,0,0,2,0,3,0,0,1,0,0,0,0,1,1,0,6,0,0,0,13,1,0,0,0,3,1,5,2,1,0,3,0,0,0,0,0,0,0,4,3,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,2,0,0,0,1,0,3,6,0,0,8,2,2,0,11,0,1,0,0
2022-09-11T09,126,3,0,0,0,0,2,0,0,1,0,0,0,0,2,1,0,13,0,0,0,24,0,0,0,0,8,0,5,4,0,0,1,0,0,0,0,0,0,0,6,5,0,0,0,0,0,1,0,0,0,0,8,0,0,0,1,2,0,0,0,4,0,1,6,0,0,3,0,4,0,20,0,0,1,0
2022-09-11T10,133,3,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,17,0,0,0,23,0,0,0,0,6,1,20,8,0,0,3,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,2,1,0,0,2,0,1,5,0,0,1,1,1,0,14,0,0,1,0
