bucket,total,--,AE,AR,AT,AU,BA,BE,BO,BR,CA,CH,CM,CN,CO,DE,DK,ES,FI,FR,GB,GE,HK,HU,ID,IN,IT,JP,KG,KH,KR,LU,MK,MO,MX,MY,MZ,NL,NO,NP,NZ,PH,PL,PR,RS,RU,RW,SE,SG,TH,TR,TW,UA,US,VE,VN,ZA
2022-10-23T00,96,2,0,1,0,0,0,0,1,0,5,0,0,2,0,7,0,2,0,4,4,0,4,0,0,7,4,1,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,2,0,0,6,0,0,3,0,35,0,0,0
2022-10-23T01,106,3,0,1,0,1,0,0,1,0,5,0,0,7,1,6,0,1,0,4,3,0,3,0,0,0,3,0,0,0,1,0,0,0,0,2,0,3,0,0,0,1,0,0,1,2,1,0,5,1,0,2,0,48,0,0,0
2022-10-23T02,110,2,0,2,0,1,0,0,0,1,7,0,0,2,0,4,0,1,0,5,3,0,1,0,0,2,1,1,0,0,2,0,0,1,0,0,0,5,0,1,0,2,0,0,0,2,0,0,7,2,0,5,0,49,0,1,0
2022-10-23T03,107,1,0,1,0,14,0,0,0,0,9,0,0,4,0,4,0,0,0,3,2,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,0,0,7,0,0,4,0,46,0,1,0
2022-10-23T04,116,2,0,0,0,5,0,0,0,0,11,0,0,4,0,3,0,0,0,4,1,0,2,0,1,0,1,2,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,7,1,0,4,0,58,0,0,0
2022-10-23T05,115,2,0,1,0,0,0,0,0,1,4,0,0,3,0,5,0,0,0,5,1,0,2,0,3,1,1,1,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,3,0,0,6,6,0,5,0,57,0,1,1
2022-10-23T06,71,1,1,0,0,2,0,0,0,0,3,0,0,3,0,5,0,0,0,3,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,3,0,0,6,3,0,10,0,21,0,0,0
2022-10-23T07,87,2,0,2,0,3,2,0,0,0,2,0,1,3,0,13,0,1,0,6,2,0,3,0,0,0,3,0,0,0,0,0,0,0,1,1,0,3,1,0,0,2,0,1,0,3,0,0,5,4,0,5,0,18,0,0,0
2022-10-23T08,113,1,0,1,0,0,0,1,0,0,0,0,0,8,0,18,0,2,0,3,2,1,3,1,0,1,4,1,0,0,1,0,0,0,0,0,1,5,0,0,0,2,2,0,0,3,0,0,7,2,0,1,0,41,0,1,0
2022-10-23T09,121,1,0,0,2,2,0,1,0,1,0,1,0,5,0,23,2,0,0,6,9,0,3,0,0,1,8,0,1,0,0,1,0,0,0,0,0,8,0,1,1,1,1,0,0,4,0,1,6,6,0,4,1,20,0,0,0
2022-10-23T10,122,3,0,0,1,1,0,0,0,2,0,0,0,17,0,25,0,4,0,6,3,0,1,0,0,1,11,0,0,1,1,0,0,0,0,0,1,7,0,1,0,1,0,0,0,4,0,1,6,2,1,3,0,17,0,1,0
2022-10-23T11,157,1,0,0,1,1,0,1,0,1,2,0,0,23,0,22,0,3,2,6,3,0,2,0,1,0,6,0,0,0,2,0,1,0,0,0,1,9,0,0,1,1,2,0,0,3,0,1,5,6,1,5,0,42,1,0,1
2022-10-23T12,104,1,0,1,0,0,0,1,0,0,1,1,0,16,0,12,0,3,0,7,3,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,1,8,0,0,1,2,0,0,0,3,0,1,5,6,0,4,0,19,1,0,0
