bucket,total,--,AE,AO,AR,AT,AU,BD,BE,BG,BH,BR,BW,BY,CA,CH,CL,CN,CO,CZ,DE,DK,DO,EG,ES,ET,FI,FR,GB,GN,GR,HK,ID,IE,IL,IN,IQ,IR,IT,JP,KE,KH,KR,KZ,LU,MC,MK,MM,MU,MX,MY,MZ,NL,NO,NP,NZ,PA,PE,PH,PL,PR,PS,PT,RO,RU,RW,SE,SG,SI,SK,SZ,TH,TN,TR,TW,UA,UG,US,VE,VN,ZA
2022-12-04T00,126,4,0,0,0,1,1,0,0,0,0,1,0,0,7,2,0,2,0,0,14,0,0,0,0,0,1,4,9,0,0,0,0,0,0,1,0,0,12,4,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,1,1,0,3,0,2,6,0,0,0,2,0,0,1,0,0,38,0,1,0
2022-12-04T01,131,2,0,1,0,0,0,0,0,0,0,2,0,0,12,1,0,3,0,0,8,0,0,0,0,0,0,5,8,0,0,1,0,2,0,8,0,0,5,8,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,1,0,0,0,1,3,0,1,5,0,0,0,1,0,0,0,0,0,47,1,0,0
2022-12-04T02,132,4,0,1,0,0,32,0,0,0,0,1,0,0,9,1,0,1,0,0,8,1,0,0,2,0,0,3,5,0,0,2,1,5,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,2,3,0,3,0,0,0,0,0,2,0,0,0,1,0,2,0,2,5,0,0,0,0,0,0,0,0,0,32,0,0,0
2022-12-04T03,86,3,0,0,0,0,1,0,0,0,0,1,0,0,12,1,0,4,0,0,4,0,0,0,0,1,0,0,3,0,0,1,1,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,1,6,0,0,0,3,0,0,3,0,0,25,0,0,1
2022-12-04T04,110,2,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,2,0,0,4,0,0,0,0,1,0,1,3,0,0,2,0,0,0,0,0,0,0,19,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,6,0,0,0,2,0,0,1,0,0,54,0,0,1
2022-12-04T05,100,2,0,0,0,0,31,0,0,0,0,0,0,0,4,1,0,6,0,0,6,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,3,0,1,6,0,0,0,0,0,0,0,0,0,29,0,0,1
2022-12-04T06,93,2,0,0,0,0,2,0,0,0,0,2,0,0,1,1,0,4,0,0,6,0,0,0,0,0,0,7,3,0,0,3,1,0,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,1,0,0,0,0,3,0,1,6,0,0,0,1,0,0,0,0,0,37,0,0,0
2022-12-04T07,118,3,1,0,0,0,22,0,0,0,0,3,0,0,3,1,0,4,0,0,5,0,0,0,1,0,0,4,5,0,0,2,0,0,0,5,0,0,1,2,0,0,1,1,0,0,0,0,0,0,4,1,1,0,0,0,0,0,1,0,0,0,0,0,3,0,4,7,0,0,0,0,0,0,0,0,0,33,0,0,0
2022-12-04T08,119,2,0,0,1,0,20,0,0,0,0,2,0,0,3,1,0,4,0,0,11,0,0,0,4,0,0,3,2,0,1,4,0,12,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,3,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,2,2,0,22,0,0,0
2022-12-04T09,102,3,0,0,1,0,1,0,0,0,0,1,0,0,3,2,0,3,0,0,13,1,0,0,1,0,0,5,5,0,0,2,0,0,0,0,0,0,5,11,0,0,0,0,0,0,0,0,1,1,3,0,1,0,0,0,0,0,2,1,0,0,0,1,2,0,1,9,0,0,0,2,0,0,3,1,0,17,0,0,0
2022-12-04T10,141,4,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,15,0,0,15,0,0,0,4,0,0,6,10,0,0,0,0,4,0,1,0,0,9,7,0,0,2,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,1,2,0,0,0,1,0,0,1,6,0,0,0,0,0,1,4,0,0,32,0,0,0
2022-12-04T11,157,3,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,19,0,0,17,0,0,0,2,0,1,4,9,0,0,3,1,8,0,0,0,0,9,13,0,0,1,0,0,1,0,0,0,0,0,0,5,0,1,1,1,0,2,2,0,0,0,0,1,0,2,7,0,0,0,4,0,1,6,0,0,29,1,0,0
2022-12-04T12,156,2,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,21,0,0,25,0,0,0,1,0,0,5,8,0,0,2,0,0,0,6,0,0,4,2,0,0,0,0,0,1,0,0,0,0,0,0,9,0,1,0,0,0,3,4,0,0,0,0,2,0,1,6,0,0,0,2,0,0,9,0,0,36,1,0,0
2022-12-04T13,183,2,0,0,1,2,1,0,1,0,0,5,1,0,1,0,0,18,0,0,32,0,0,0,1,1,0,8,8,0,0,4,0,0,1,5,0,2,3,8,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,2,1,0,0,1,0,2,1,5,6,0,1,0,3,0,1,14,0,0,31,0,0,0
2022-12-04T14,194,3,0,0,1,2,0,0,1,0,0,4,1,0,3,1,1,19,2,0,29,0,0,0,3,1,0,8,7,0,0,2,0,8,0,4,0,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,1,0,0,2,10,0,0,0,8,0,1,7,1,0,40,0,0,0
2022-12-04T15,197,4,0,0,0,1,0,0,1,0,0,7,1,0,3,2,1,16,1,0,40,0,0,0,3,0,0,9,9,0,0,5,0,0,0,2,0,1,16,1,0,0,0,0,0,0,0,0,0,2,0,0,7,1,0,0,0,0,1,1,0,0,0,0,1,0,4,9,0,0,0,13,0,2,4,0,0,29,0,0,0
2022-12-04T16,185,3,0,0,0,0,0,0,0,0,0,7,0,0,7,3,0,5,0,0,32,0,0,0,3,0,0,9,9,0,0,0,0,0,0,1,0,1,21,10,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,2,0,0,0,1,2,0,4,5,0,0,0,11,0,1,2,0,0,37,0,1,1
2022-12-04T17,189,1,1,0,0,0,0,0,0,0,0,3,0,0,8,4,0,2,0,0,53,0,0,0,5,0,0,14,13,0,0,1,0,0,0,4,0,0,18,1,0,0,0,1,0,0,0,0,0,1,2,0,7,0,0,0,0,0,0,1,0,0,0,1,2,0,7,6,0,0,0,8,0,1,3,0,0,21,0,0,0
2022-12-04T18,213,1,0,0,0,0,0,0,1,0,0,0,0,0,14,1,0,4,0,0,43,0,0,0,3,0,0,8,17,0,0,5,0,0,0,10,0,1,22,0,0,0,0,0,0,0,0,1,0,1,2,0,15,0,0,0,0,0,0,2,0,0,1,0,1,0,5,6,0,0,1,4,0,0,2,0,0,41,0,1,0
2022-12-04T19,249,2,0,0,0,2,0,0,4,0,0,1,0,0,13,2,1,2,0,0,43,2,0,0,9,0,0,8,14,0,0,1,1,0,0,7,0,0,13,12,0,0,1,0,0,0,1,0,0,0,0,0,20,0,0,0,0,0,0,3,0,0,1,0,1,0,3,7,0,1,0,4,0,0,0,1,0,68,0,1,0
