bucket,total,--,AR,AT,AU,BE,BR,BY,CA,CH,CN,CO,CZ,DE,DK,EG,ES,FI,FR,GB,HK,HR,ID,IE,IN,IR,IT,JP,KE,KR,LU,MQ,MX,MY,NL,NZ,PH,PK,PL,PT,RO,RS,RU,SE,SG,SK,TH,TM,TR,TW,TZ,UA,US,VE,VN,ZA
2023-01-08T00,110,2,0,0,1,0,0,0,6,0,12,0,0,13,0,0,2,0,4,10,0,0,0,1,0,0,7,0,0,0,0,0,1,2,5,0,0,0,1,1,0,0,1,1,6,0,1,0,0,1,0,0,31,0,0,1
2023-01-08T01,115,2,0,0,0,0,2,0,6,1,15,0,0,8,0,0,0,0,3,11,2,0,0,1,1,0,5,0,0,0,1,0,1,2,4,0,0,0,0,0,0,0,1,0,5,0,1,0,0,3,1,0,39,0,0,0
2023-01-08T02,110,3,0,0,0,0,3,1,8,0,15,0,0,7,0,1,0,0,2,5,1,0,0,0,2,1,1,2,0,0,0,1,0,2,2,0,0,0,0,0,0,0,2,0,6,0,2,1,0,3,1,0,38,0,0,0
2023-01-08T03,110,3,1,0,1,0,4,0,9,0,16,0,0,6,0,1,0,0,1,5,1,0,0,0,3,1,1,2,0,0,0,0,1,0,2,0,0,1,0,0,0,0,1,0,5,0,1,0,0,3,0,1,39,1,0,0
2023-01-08T04,100,2,0,0,1,2,3,0,10,0,5,0,0,6,0,0,0,0,1,2,1,0,0,0,2,1,1,4,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,8,0,5,0,1,1,0,0,37,1,2,0
2023-01-08T05,116,3,1,1,0,0,2,0,10,0,3,1,0,9,0,0,1,0,2,2,1,0,0,0,5,0,2,6,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,1,7,0,6,0,1,5,0,1,39,0,1,0
2023-01-08T06,95,3,1,0,0,0,1,0,12,0,1,1,0,7,0,0,1,0,3,2,0,1,0,0,2,0,2,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,3,1,8,0,4,0,0,10,0,1,26,0,0,0
2023-01-08T07,71,3,0,0,0,0,1,0,6,1,4,0,0,7,0,0,0,0,3,3,0,1,0,0,0,0,3,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,2,0,6,0,1,0,0,2,0,0,22,0,1,0
2023-01-08T08,120,3,0,0,0,0,0,0,8,0,10,0,0,13,1,0,0,0,4,3,2,1,0,0,0,1,3,2,0,0,1,0,2,0,2,0,0,0,1,0,0,1,5,0,9,1,3,0,1,1,0,0,40,0,2,0
2023-01-08T09,178,3,0,0,0,0,0,0,4,0,0,0,0,11,2,0,3,1,4,7,2,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,4,6,6,1,4,0,1,2,0,0,109,0,1,0
2023-01-08T10,94,2,1,0,0,0,0,0,2,1,0,0,0,22,1,0,2,2,10,6,2,0,1,0,2,0,5,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,6,0,2,0,1,3,0,0,15,0,0,0
2023-01-08T11,102,3,0,0,0,0,0,0,2,0,3,0,0,16,0,0,5,1,6,6,2,0,0,0,1,0,8,0,0,0,0,0,0,0,6,2,1,0,0,0,1,0,1,1,6,2,6,0,1,4,0,0,18,0,0,0
2023-01-08T12,61,2,0,1,0,0,0,0,2,1,1,0,1,14,0,0,5,0,1,6,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,5,0,2,0,1,2,0,0,10,0,0,0
