bucket,total,--,AR,AT,AU,BD,BE,BG,BO,BR,CA,CH,CL,CN,CR,CV,DE,DK,EG,ES,FI,FR,GB,HK,ID,IE,IN,IT,JP,KE,KR,KZ,LA,LT,LU,MM,MO,MX,MY,NL,NO,NZ,PE,PH,PK,PL,PT,RO,RU,SE,SG,TH,TM,TN,TR,TW,UA,US,VN,ZA
2023-03-05T00,129,4,0,0,0,0,0,0,0,3,2,0,0,4,0,0,13,0,0,4,1,6,10,1,0,0,0,9,1,0,1,0,0,1,0,0,0,0,2,8,0,0,1,0,0,2,0,0,3,1,8,0,0,0,2,0,0,41,1,0
2023-03-05T01,129,4,0,0,0,0,0,0,0,2,7,1,0,14,0,1,8,0,0,2,0,7,9,2,0,1,0,3,1,1,1,0,0,0,0,0,0,0,2,4,0,0,0,1,0,1,1,0,4,1,6,0,1,0,0,3,0,41,0,0
2023-03-05T02,95,1,0,0,0,0,0,1,0,0,13,1,0,4,0,0,5,0,0,1,0,4,3,2,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,2,0,0,0,1,0,1,0,0,1,1,6,0,1,0,0,0,0,42,0,0
2023-03-05T03,92,3,0,0,1,0,0,0,0,0,9,0,0,2,0,0,6,1,2,1,0,2,2,3,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,4,1,0,0,0,1,1,0,0,3,1,7,1,0,0,0,0,0,35,0,0
2023-03-05T04,109,4,1,0,2,0,0,0,0,0,14,0,0,5,0,0,4,0,1,1,0,5,3,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,3,1,7,1,0,0,0,1,0,45,1,0
2023-03-05T05,94,2,1,0,2,0,0,0,1,1,8,0,0,2,1,0,6,1,0,1,0,1,3,0,1,0,3,1,2,0,0,0,0,0,0,0,0,0,1,2,0,1,1,1,0,0,0,0,4,1,6,0,0,0,0,3,0,36,1,0
2023-03-05T06,104,1,4,0,0,1,0,0,1,0,7,0,0,7,1,0,5,1,0,1,0,3,3,1,1,0,2,1,1,0,1,0,0,1,1,0,0,0,1,4,1,2,1,3,0,0,0,0,4,1,6,1,0,0,0,10,0,25,0,1
2023-03-05T07,74,1,1,0,0,0,0,0,0,0,5,0,0,3,0,0,7,0,0,3,0,2,2,1,0,0,0,1,2,0,0,0,1,1,0,0,1,0,0,2,0,1,0,1,0,0,0,0,4,1,6,1,0,1,0,2,0,24,0,0
2023-03-05T08,77,1,0,1,3,0,0,0,0,1,1,0,0,3,0,0,10,2,0,4,1,4,4,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,1,0,2,0,0,1,4,5,0,0,0,0,2,0,20,0,0
2023-03-05T09,117,2,1,1,0,0,0,0,0,3,1,0,0,8,0,0,29,0,0,6,1,2,5,3,0,0,1,2,2,0,3,1,0,0,0,0,0,0,0,8,0,2,0,1,0,2,0,0,3,1,5,0,0,0,0,0,1,22,1,0
2023-03-05T10,120,2,0,0,0,0,0,0,0,2,1,0,0,7,0,0,30,0,0,4,0,5,6,3,0,1,2,3,1,0,2,0,0,0,1,0,0,0,0,7,0,0,0,3,0,2,1,0,3,2,5,1,0,0,0,2,1,21,2,0
2023-03-05T11,116,2,0,0,0,0,0,0,0,1,2,0,1,10,0,0,26,0,0,5,1,5,8,0,0,0,1,4,1,0,1,0,0,0,0,1,0,0,0,3,0,0,0,1,0,3,1,1,2,3,5,4,0,0,0,5,0,18,1,0
2023-03-05T12,87,2,0,0,0,0,1,0,0,1,2,0,0,4,0,0,19,0,0,3,1,3,4,5,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,3,0,0,1,3,5,1,0,0,0,3,1,15,0,0
